Timestamp,Load Pressure (bar),Voltage (V),Resistance (ohm)
2025-01-29 20:16:43,0.0,0.04400341679,146.6775670414432
2025-01-29 20:18:19,2.5,0.044070432505,146.90095201349328
2025-01-29 20:19:02,5.0,0.056961914122,189.87241416528613
2025-01-29 20:20:07,10.0,0.04670824664,155.69363648787836
2025-01-29 20:23:01,20.0,0.051671217410000005,172.23681724394254
2025-01-29 20:24:16,25.0,0.050012358504,166.70730598898004
2025-01-29 20:25:32,30.0,0.05027474181,167.5819140936197
2025-01-29 20:26:45,35.0,0.04951036647,165.0340047866507
2025-01-29 20:27:21,40.0,0.04747064995,158.2349723834254
2025-01-29 20:27:49,45.0,0.046605605193,155.35149947166843
2025-01-29 20:28:28,50.0,0.046573396839000004,155.24413864953786
2025-01-29 20:29:00,55.0,0.04718028501,157.26709247635844
2025-01-29 20:29:29,60.0,0.045389098323,151.29649008836637
2025-01-29 20:29:59,65.0,0.045499437717,151.66428684237718
2025-01-29 20:30:40,70.0,0.04986792363,166.22585801380663
2025-01-29 20:31:14,75.0,0.043806852545000004,146.0223550754831
2025-01-29 20:31:45,80.0,0.044734241095,149.11363993786688
2025-01-29 20:32:26,85.0,0.046534015853999994,155.11286913710285
2025-01-29 20:33:08,90.0,0.046585635233,155.2849331602228
2025-01-29 20:33:40,95.0,0.043173083375,143.90979821733927
2025-01-29 20:34:14,100.0,0.047243617729,157.47820083599723
2025-01-29 20:37:12,105.0,0.05084878721999999,169.4953924153586
2025-01-29 20:38:02,110.0,0.04663986209,155.46568874770418
2025-01-29 20:40:28,115.0,0.051351834289999995,171.17221039263202
2025-01-29 20:41:16,120.0,0.0482955294,160.9845613847954
2025-01-29 20:42:33,125.0,0.04898502061,163.28285775714082
2025-01-29 20:43:42,130.0,0.050193202170000006,167.3101161996127
2025-01-29 20:44:47,135.0,0.04956297195,165.20935580214734
