Timestamp,Load Pressure (bar),Voltage (V),Resistance (ohm)
2025-01-28 13:28:06,194.87833333333333,5.3782804249999994e-06,0.010756539336921325
2025-01-28 13:28:17,194.27666666666664,5.3961229400000005e-06,0.01079222429555141
2025-01-28 13:28:27,193.35,5.402812301666666e-06,0.010805602992127348
2025-01-28 13:28:37,192.54,5.37605686e-06,0.010752092215815568
2025-01-28 13:28:48,191.78666666666666,5.386405363333333e-06,0.010772789181088302
2025-01-28 13:28:59,190.9283333333333,5.3886623166666664e-06,0.010777303078727174
2025-01-28 13:29:11,190.0633333333333,5.38226663e-06,0.010764511730976539
2025-01-28 13:29:24,189.26666666666668,5.349770620000001e-06,0.010699519840960318
2025-01-28 13:29:37,188.35833333333335,5.323998706666666e-06,0.010647976117381096
2025-01-28 13:29:48,187.47833333333332,5.287458928333334e-06,0.010574896706873253
2025-01-28 13:30:06,186.63666666666666,5.205087186666667e-06,0.010410153553026227
2025-01-28 13:30:17,185.625,5.130533056666667e-06,0.010261045591242152
2025-01-28 13:30:29,184.81666666666663,5.02176734e-06,0.010043514592970813
2025-01-28 13:30:39,184.10333333333335,4.888345384999999e-06,0.009776671216657564
2025-01-28 13:30:51,183.41499999999996,4.7132620516666665e-06,0.009426505250322832
2025-01-28 13:31:01,182.68833333333336,4.396607338333334e-06,0.008793197090272488
2025-01-28 13:31:16,181.965,4.009147166666666e-06,0.008018278296776739
2025-01-28 13:31:26,181.15499999999997,3.719639261666667e-06,0.007439263644806044
2025-01-28 13:31:37,180.51166666666668,3.5219994916666665e-06,0.007043984895363542
2025-01-28 13:31:47,179.89166666666665,3.3054779333333336e-06,0.0066109426447813775
2025-01-28 13:31:57,179.2966666666667,3.087137228333333e-06,0.006174262108142449
2025-01-28 13:32:08,178.69500000000002,2.8916800616666664e-06,0.0057833485566362195
2025-01-28 13:32:18,178.02499999999998,2.727599976666667e-06,0.005455189042955248
2025-01-28 13:32:29,177.42333333333332,2.561699918333333e-06,0.005123389589887486
2025-01-28 13:32:40,176.68833333333336,2.435825346666667e-06,0.004871640950051433
2025-01-28 13:32:53,176.02,2.30704424e-06,0.0046140792518414965
2025-01-28 13:33:08,175.02166666666668,2.2222275466666664e-06,0.004444446204440924
2025-01-28 13:33:20,174.23833333333332,2.177592775e-06,0.00435517683964632
2025-01-28 13:33:30,173.5716666666667,2.1410049349999997e-06,0.004282001305997387
2025-01-28 13:33:44,172.79166666666666,2.122727115e-06,0.004245445739108521
2025-01-28 13:33:55,172.03333333333333,2.120010745e-06,0.00424001300997398
2025-01-28 13:34:06,171.2733333333333,2.29072711e-06,0.004581445057109885
2025-01-28 13:34:18,170.58333333333334,2.5763649966666667e-06,0.005152719687893957
2025-01-28 13:34:30,169.6433333333333,2.893811528333333e-06,0.005787611481443702
2025-01-28 13:34:40,169.05333333333334,3.2126689433333336e-06,0.006425325036016595
2025-01-28 13:34:50,168.38666666666668,3.6614911050000002e-06,0.007322967564064872
2025-01-28 13:35:01,167.62499999999997,4.25050978e-06,0.008501002557994883
2025-01-28 13:35:11,166.93333333333334,4.980191133333333e-06,0.009960362345941973
2025-01-28 13:35:21,166.23666666666668,5.920821378333334e-06,0.011841619073428521
2025-01-28 13:35:31,165.45333333333335,7.032078901666666e-06,0.014064129675073981
2025-01-28 13:35:41,164.82500000000002,8.303513418333333e-06,0.01660699362267942
2025-01-28 13:35:51,164.13500000000002,9.465413348333334e-06,0.018930788835089
2025-01-28 13:36:02,163.40166666666667,1.053270715e-05,0.02106537216925566
2025-01-28 13:36:12,162.60500000000002,1.1380025800000002e-05,0.022760006079987842
2025-01-28 13:36:22,161.85000000000002,1.2033200166666667e-05,0.024066352200628933
2025-01-28 13:36:32,161.0066666666667,1.2498196116666668e-05,0.024996342240648853
2025-01-28 13:36:42,160.23833333333334,1.2776271883333334e-05,0.025552492661681345
2025-01-28 13:36:52,159.43666666666667,1.2936804516666666e-05,0.02587355728621876
2025-01-28 13:37:02,158.69000000000003,1.30110262e-05,0.02602200035599929
2025-01-28 13:37:13,157.83333333333331,1.3037851766666665e-05,0.026075651382030565
2025-01-28 13:37:23,156.86166666666668,1.303904225e-05,0.026078032343935312
2025-01-28 13:37:33,155.94666666666666,1.3002177533333334e-05,0.026004303058060552
2025-01-28 13:37:43,154.9766666666667,1.2950835050000001e-05,0.025901618296763407
2025-01-28 13:37:53,153.87833333333333,1.2888142733333334e-05,0.025776233914198837
2025-01-28 13:38:03,152.94000000000003,1.2811964999999998e-05,0.02562387875224249
2025-01-28 13:38:13,151.80999999999997,1.2725793416666666e-05,0.02545153593026147
2025-01-28 13:38:24,150.695,1.26231413e-05,0.025246232107535783
2025-01-28 13:38:34,149.39000000000001,1.253385685e-05,0.02506766356467287
2025-01-28 13:38:44,148.12333333333333,1.2403493483333334e-05,0.02480693735279196
2025-01-28 13:38:54,146.78,1.2272648516666667e-05,0.024545247942837446
2025-01-28 13:39:04,145.33333333333334,1.2128203649999999e-05,0.024256358787282422
2025-01-28 13:39:14,143.80166666666665,1.1976216183333333e-05,0.023952384461897742
2025-01-28 13:39:25,142.16,1.1797780766666667e-05,0.023595514342304648
2025-01-28 13:39:35,140.275,1.160293935e-05,0.02320583228833542
2025-01-28 13:39:45,138.51333333333332,1.1405886216666666e-05,0.022811726809879713
2025-01-28 13:39:55,136.73333333333332,1.1258927683333334e-05,0.022517810331046006
2025-01-28 13:40:05,134.975,1.1070695699999998e-05,0.02214134711730576
2025-01-28 13:40:15,133.22166666666666,1.0897057533333335e-05,0.021794071478523712
