Timestamp,Current (A),Voltage (V),Resistance (Ohm)
2024-12-02 19:21:23,0,2.0656062419999997e-06,2065.606242
2024-12-02 19:21:26,5e-05,1.749304384e-05,0.3498538797224055
2024-12-02 19:21:28,0.0001,3.386980115999999e-05,0.3386946246537534
2024-12-02 19:21:31,0.00015000000000000001,4.8776140820000004e-05,0.32517210431930454
2024-12-02 19:21:33,0.0002,6.528657841999999e-05,0.32643125994370026
2024-12-02 19:21:36,0.00025,8.09175777e-05,0.3236690161239355
2024-12-02 19:21:39,0.00030000000000000003,9.63165977e-05,0.321054255485815
2024-12-02 19:21:41,0.00035000000000000005,0.0001112753064,0.31792853848988994
2024-12-02 19:21:44,0.0004000000000000001,0.00012669142120000002,0.31672776118059703
2024-12-02 19:21:46,0.0004500000000000001,0.0001411250016,0.3136104177546271
