Timestamp,Current (A),Voltage (V),Resistance (Ohm)`
2025-01-23 13:11:41,-0.002,-0.1940856676,97.04288232144116
2025-01-23 13:11:49,-0.0018,-0.1748015822,97.1120440622467
2025-01-23 13:11:56,-0.0015999999999999999,-0.1554298466,97.14371483982178
2025-01-23 13:12:03,-0.0013999999999999998,-0.13603473299999996,97.167735834097
2025-01-23 13:12:11,-0.0011999999999999997,-0.11662733,97.18952265793557
2025-01-23 13:12:19,-0.0009999999999999996,-0.09720224400000001,97.20234120234124
2025-01-23 13:12:26,-0.0007999999999999996,-0.07778510229999999,97.23149941437431
2025-01-23 13:12:34,-0.0005999999999999996,-0.05836280678,97.27150675251131
2025-01-23 13:12:41,-0.00039999999999999964,-0.03893561712,97.33928614821546
2025-01-23 13:12:48,-0.00019999999999999963,-0.019506644679999997,97.5337110685555
2025-01-23 13:12:56,3.7947076036992655e-19,-6.362119418000001e-05,-63621.19415585762
2025-01-23 13:13:05,0.0002000000000000004,0.019367293140000002,96.83598152009223
2025-01-23 13:13:12,0.0004000000000000004,0.03879964156,96.99886140284639
2025-01-23 13:13:19,0.0006000000000000004,0.05823563648,97.05923236794598
2025-01-23 13:13:27,0.0008000000000000004,0.07767115276,97.08881958897547
2025-01-23 13:13:34,0.0010000000000000005,0.09710927338,97.1091762708237
2025-01-23 13:13:42,0.0012000000000000005,0.11506608060000001,95.88832059306614
2025-01-23 13:13:50,0.0014000000000000006,0.1360157094,97.15400874713656
2025-01-23 13:13:57,0.0016000000000000007,0.155459703,97.16225364859143
2025-01-23 13:14:04,0.0018000000000000008,0.1749060104,97.16995179447119
