Timestamp,Current (A),Voltage (V),Resistance (Ohm)
2025-01-23 13:19:52,-0.002,-0.19345304359999999,96.72657016328506
2025-01-23 13:20:00,-0.0018,-0.1742845408,96.8247986804437
2025-01-23 13:20:07,-0.0015999999999999999,-0.1549919532,96.87003129376957
2025-01-23 13:20:14,-0.0013999999999999998,-0.13566480499999997,96.90350135964381
2025-01-23 13:20:22,-0.0011999999999999997,-0.11631880380000001,96.93241727701442
2025-01-23 13:20:30,-0.0009999999999999996,-0.09695165764000001,96.95175459175464
2025-01-23 13:20:37,-0.0007999999999999996,-0.07759390830000001,96.99250661563333
2025-01-23 13:20:45,-0.0005999999999999996,-0.05822686482,97.04493644156081
2025-01-23 13:20:52,-0.00039999999999999964,-0.03885344664,97.13385943464867
2025-01-23 13:20:59,-0.00019999999999999963,-0.01947506238,97.37579877899408
2025-01-23 13:21:07,3.7947076036992655e-19,-0.0001004487567,-100448.75666188262
2025-01-23 13:21:15,0.0002000000000000004,0.019294337439999996,96.47120484397558
2025-01-23 13:21:23,0.0004000000000000004,0.03867993352,96.69959205101978
2025-01-23 13:21:30,0.0006000000000000004,0.05804994866,96.74975318374463
2025-01-23 13:21:38,0.0008000000000000004,0.07743367666,96.79197483503141
2025-01-23 13:21:45,0.0010000000000000005,0.09683247908,96.83238224761773
2025-01-23 13:21:52,0.0012000000000000005,0.11480014359999999,95.66670661107777
2025-01-23 13:22:00,0.0014000000000000006,0.1356427584,96.88761536598899
2025-01-23 13:22:08,0.0016000000000000007,0.1550369318,96.89802181373632
2025-01-23 13:22:15,0.0018000000000000008,0.1744405748,96.91137660479073
