Timestamp,Pressure (bar),Voltage (V),Resistance (ohms)
2024-11-14 17:34:36,1.0,0.03411840414,68.23667180665639
2024-11-14 17:40:02,1.3,0.25962973199999995,519.2584254831489
2024-11-14 17:44:32,1.7,0.29204165279999994,584.082137435725
2024-11-14 17:46:42,1.8,0.2931229359,586.2446993106013
2024-11-14 17:47:38,2.3,0.02980504965,59.60998008003983
2024-11-14 17:50:25,3.0,0.2073907205,414.7806114387771
2024-11-14 17:57:14,2.9,0.14558029424,291.16000615998763
2024-11-14 18:05:09,3.5,0.17006247677,340.1242732914534
2024-11-14 18:05:49,4.0,0.16324524617,326.48983936032124
2024-11-14 18:09:20,4.4,0.2218895172,443.7781468437063
2024-11-14 18:10:41,5.0,0.19734097909999998,394.68116883766226
2024-11-14 18:11:42,5.6,0.14033422237999998,280.6678834242331
2024-11-14 18:12:57,6.5,0.17187781929999998,343.7549510900978
2024-11-14 18:13:45,7.5,0.165658039,331.3154153691693
2024-11-14 18:14:23,9.0,0.1439563529,287.91212997574
2024-11-14 18:15:31,10.5,0.16725206539999998,334.5034617930764
2024-11-14 18:16:37,13.0,0.1729598183,345.91894476211047
