40.26, 288
40.36, 288
40.46, 287
40.56, 286
40.66, 286
40.76, 285
40.86, 285
40.96, 285
41.06, 285
41.16, 284
41.26, 282
41.36, 281
41.46, 280
41.57, 280
41.67, 281
41.77, 281
41.87, 281
41.97, 281
42.07, 282
42.17, 281
42.27, 281
42.37, 283
42.47, 285
42.57, 286
42.67, 288
42.77, 288
42.87, 288
42.97, 287
43.08, 287
43.18, 286
43.28, 286
43.38, 286
43.48, 285
43.58, 285
43.68, 285
43.78, 285
43.88, 283
43.98, 282
44.08, 281
44.18, 281
44.28, 281
44.38, 282
44.48, 281
44.59, 281
44.69, 281
44.79, 282
44.89, 281
44.99, 282
45.09, 284
45.19, 286
45.29, 287
45.39, 287
45.49, 288
45.59, 287
45.69, 287
45.79, 286
45.89, 285
45.99, 285
46.09, 285
46.20, 285
46.30, 285
46.40, 285
46.50, 284
46.60, 282
46.70, 281
46.80, 281
46.90, 281
47.00, 281
47.10, 281
47.20, 282
47.30, 281
47.40, 281
47.50, 281
47.60, 281
47.71, 283
47.81, 285
47.91, 286
48.01, 287
48.11, 287
48.21, 288
48.31, 287
48.41, 286
48.51, 286
48.61, 285
48.71, 285
48.81, 285
48.91, 285
49.01, 285
49.11, 285
49.22, 283
49.32, 282
49.42, 281
49.52, 281
49.62, 281
49.72, 281
49.82, 281
49.92, 282
50.02, 281
50.12, 282
50.22, 281
50.32, 282
50.42, 284
50.52, 286
50.62, 287
50.72, 288
50.83, 288
50.93, 288
51.03, 287
51.13, 287
51.23, 286
51.33, 285
51.43, 285
51.53, 285
51.63, 285
51.73, 285
51.83, 284
51.93, 283
52.03, 281
52.13, 281
52.23, 281
52.34, 281
52.44, 281
52.54, 281
52.64, 281
52.74, 281
52.84, 281
52.94, 281
53.04, 282
53.14, 284
53.24, 286
53.34, 287
53.44, 287
53.54, 288
53.64, 288
53.74, 287
53.85, 286
53.95, 286
54.05, 286
54.15, 285
54.25, 285
54.35, 285
54.45, 285
54.55, 285
54.65, 284
54.75, 282
54.85, 282
54.95, 282
55.05, 282
55.15, 282
55.25, 282
55.35, 282
55.46, 282
55.56, 282
55.66, 282
55.76, 282
55.86, 284
55.96, 285
56.06, 286
56.16, 287
56.26, 287
56.36, 287
56.46, 287
56.56, 286
56.66, 286
56.76, 286
56.86, 285
56.97, 285
57.07, 285
57.17, 285
57.27, 285
57.37, 284
57.47, 283
57.57, 282
57.67, 282
57.77, 282
57.87, 282
57.97, 282
58.07, 282
58.17, 282
58.27, 282
58.37, 282
58.48, 282
58.58, 282
58.68, 284
58.78, 285
58.88, 286
58.98, 287
59.08, 287
